序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
195,002025,航天电器,5.33,275.79,13392.49,2024年4季度股票投资明细
196,600862,中航高科,3.83,380.43,9609.6,2024年4季度股票投资明细
197,300395,菲利华,3.25,216.8,8154.02,2024年4季度股票投资明细
198,002475,立讯精密,2.3,141.91,5784.13,2024年4季度股票投资明细
199,300408,三环集团,2.15,139.94,5389.09,2024年4季度股票投资明细
200,002230,科大讯飞,1.87,97.1,4691.68,2024年4季度股票投资明细
201,002371,北方华创,1.84,11.79,4610.71,2024年4季度股票投资明细
202,002415,海康威视,1.7,139.29,4276.2,2024年4季度股票投资明细
203,688041,海光信息,1.65,27.73,4153.59,2024年4季度股票投资明细
204,600276,恒瑞医药,1.42,77.7,3566.53,2024年4季度股票投资明细
205,600183,生益科技,1.33,138.97,3342.23,2024年4季度股票投资明细
206,002463,沪电股份,1.27,80.6,3195.79,2024年4季度股票投资明细
207,688019,安集科技,1.15,20.8,2899.06,2024年4季度股票投资明细
208,600522,中天科技,1.14,200.02,2864.29,2024年4季度股票投资明细
209,002126,银轮股份,1.13,151.78,2841.32,2024年4季度股票投资明细
210,300502,新易盛,1.04,22.68,2621.55,2024年4季度股票投资明细
211,300308,中际旭创,0.97,19.65,2426.97,2024年4季度股票投资明细
212,600079,人福医药,0.86,92.42,2160.83,2024年4季度股票投资明细
213,603228,景旺电子,0.8,71.88,2001.04,2024年4季度股票投资明细
214,601100,恒立液压,0.76,36.12,1906.05,2024年4季度股票投资明细
215,000938,紫光股份,0.75,67.74,1885.2,2024年4季度股票投资明细
216,002241,歌尔股份,0.75,72.77,1878.19,2024年4季度股票投资明细
217,300750,宁德时代,0.75,7.04,1872.64,2024年4季度股票投资明细
218,002138,顺络电子,0.71,56.49,1778.31,2024年4季度股票投资明细
219,002452,长高电新,0.69,233.2,1730.34,2024年4季度股票投资明细
220,002859,洁美科技,0.66,80.06,1661.28,2024年4季度股票投资明细
221,300567,精测电子,0.64,24.85,1597.86,2024年4季度股票投资明细
222,000963,华东医药,0.63,45.41,1571.32,2024年4季度股票投资明细
223,002422,科伦药业,0.61,51.15,1530.92,2024年4季度股票投资明细
224,688692,达梦数据,0.59,4.05,1475.44,2024年4季度股票投资明细
