序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
196,603259,药明康德,10.13,5903.16,324909.97,2024年4季度股票投资明细
197,600276,恒瑞医药,9.9,6920.0,317627.82,2024年4季度股票投资明细
198,300760,迈瑞医疗,7.79,979.61,249801.8,2024年4季度股票投资明细
199,300759,康龙化成,5.83,7279.54,187084.06,2024年4季度股票投资明细
200,300347,泰格医药,5.11,3002.71,164007.92,2024年4季度股票投资明细
201,000999,华润三九,5.05,3651.16,161892.35,2024年4季度股票投资明细
202,300015,爱尔眼科,4.49,10869.28,144017.97,2024年4季度股票投资明细
203,000423,东阿阿胶,4.06,2075.31,130163.66,2024年4季度股票投资明细
204,002821,凯莱英,3.95,1666.8,126826.81,2024年4季度股票投资明细
205,600085,同仁堂,3.2,2526.52,102551.54,2024年4季度股票投资明细
206,600436,片仔癀,2.93,437.65,93876.14,2024年4季度股票投资明细
207,600079,人福医药,2.24,3069.53,71765.6,2024年4季度股票投资明细
208,000963,华东医药,2.06,1914.96,66257.76,2024年4季度股票投资明细
209,002422,科伦药业,2.03,2181.18,65282.83,2024年4季度股票投资明细
210,600521,华海药业,2.02,3626.99,64814.23,2024年4季度股票投资明细
211,002653,海思科,1.83,1762.34,58597.73,2024年4季度股票投资明细
212,002294,信立泰,1.56,1623.31,50208.95,2024年4季度股票投资明细
213,600763,通策医疗,1.43,1033.63,45893.31,2024年4季度股票投资明细
214,603939,益丰药房,1.17,1552.19,37454.32,2024年4季度股票投资明细
215,688506,百利天恒,1.12,187.94,36034.43,2024年4季度股票投资明细
216,002262,恩华药业,1.04,1376.0,33505.68,2024年4季度股票投资明细
217,603456,九洲药业,0.93,2179.11,29810.23,2024年4季度股票投资明细
218,688617,惠泰医疗,0.91,78.12,29084.71,2024年4季度股票投资明细
219,000538,云南白药,0.86,460.63,27614.5,2024年4季度股票投资明细
220,600285,羚锐制药,0.84,1216.52,26958.18,2024年4季度股票投资明细
221,688131,皓元医药,0.78,700.21,24997.49,2024年4季度股票投资明细
222,002432,九安医疗,0.73,576.61,23514.16,2024年4季度股票投资明细
223,600161,天坛生物,0.7,1089.23,22329.25,2024年4季度股票投资明细
224,688266,泽璟制药,0.69,354.24,22072.88,2024年4季度股票投资明细
225,603707,健友股份,0.64,1540.44,20441.66,2024年4季度股票投资明细
226,600511,国药股份,0.59,548.57,18771.96,2024年4季度股票投资明细
227,300181,佐力药业,0.51,1073.67,16491.64,2024年4季度股票投资明细
228,300558,贝达药业,0.51,301.22,16244.79,2024年4季度股票投资明细
229,301363,美好医疗,0.49,489.1,15856.47,2024年4季度股票投资明细
230,601607,上海医药,0.47,724.88,15222.57,2024年4季度股票投资明细
231,300832,新产业,0.47,211.18,14962.1,2024年4季度股票投资明细
232,688073,毕得医药,0.46,299.95,14745.74,2024年4季度股票投资明细
233,600566,济川药业,0.45,501.32,14578.44,2024年4季度股票投资明细
234,600062,华润双鹤,0.45,735.58,14564.52,2024年4季度股票投资明细
235,688179,阿拉丁,0.44,1020.43,14081.94,2024年4季度股票投资明细
236,688443,智翔金泰,0.42,536.33,13456.44,2024年4季度股票投资明细
237,000661,长春高新,0.3,97.69,9713.91,2024年4季度股票投资明细
238,688382,益方生物,0.28,671.6,8932.27,2024年4季度股票投资明细
239,600645,中源协和,0.14,234.75,4530.68,2024年4季度股票投资明细
240,301080,百普赛斯,0.11,79.98,3530.32,2024年4季度股票投资明细
241,688331,荣昌生物,0.11,114.98,3462.18,2024年4季度股票投资明细
242,688235,百济神州,0.11,21.42,3449.37,2024年4季度股票投资明细
243,688271,联影医疗,0.1,26.57,3358.78,2024年4季度股票投资明细
244,603233,大参林,0.1,217.9,3281.56,2024年4季度股票投资明细
245,600196,复星医药,0.1,131.74,3273.74,2024年4季度股票投资明细
246,600535,天士力,0.1,225.9,3266.57,2024年4季度股票投资明细
247,301333,诺思格,0.1,63.46,3172.61,2024年4季度股票投资明细
248,600422,昆药集团,0.1,194.87,3088.7,2024年4季度股票投资明细
249,688085,三友医疗,0.1,144.07,3052.81,2024年4季度股票投资明细
250,301230,泓博医药,0.09,115.41,2945.27,2024年4季度股票投资明细
251,688062,迈威生物,0.07,118.6,2395.75,2024年4季度股票投资明细
252,688050,爱博医疗,0.07,25.63,2332.98,2024年4季度股票投资明细
253,688578,艾力斯,0.06,33.56,2010.16,2024年4季度股票投资明细
254,600420,国药现代,0.06,148.59,1774.18,2024年4季度股票投资明细
255,688136,科兴制药,0.05,75.12,1642.05,2024年4季度股票投资明细
256,600750,江中药业,0.05,71.87,1631.43,2024年4季度股票投资明细
257,600129,太极集团,0.05,64.9,1604.38,2024年4季度股票投资明细
258,688016,心脉医疗,0.05,14.07,1546.11,2024年4季度股票投资明细
259,300765,新诺威,0.05,55.44,1474.27,2024年4季度股票投资明细
260,688656,浩欧博,0.04,15.03,1435.46,2024年4季度股票投资明细
261,688046,药康生物,0.04,109.82,1411.18,2024年4季度股票投资明细
262,688278,特宝生物,0.04,15.83,1161.67,2024年4季度股票投资明细
263,603883,老百姓,0.03,56.49,924.77,2024年4季度股票投资明细
264,300573,兴齐眼药,0.02,10.31,719.12,2024年4季度股票投资明细
265,688289,圣湘生物,0.02,30.47,691.77,2024年4季度股票投资明细
266,688302,海创药业,0.02,21.4,657.17,2024年4季度股票投资明细
267,002001,新和成,0.02,28.94,635.79,2024年4季度股票投资明细
268,300677,英科医疗,0.02,24.05,607.98,2024年4季度股票投资明细
269,600332,白云山,0.02,20.98,596.23,2024年4季度股票投资明细
270,300294,博雅生物,0.02,18.78,568.56,2024年4季度股票投资明细
271,002223,鱼跃医疗,0.02,14.86,542.29,2024年4季度股票投资明细
272,688114,华大智造,0.01,9.78,457.73,2024年4季度股票投资明细
