序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
85,00700,腾讯控股,9.86,957.0,369553.86,2024年4季度股票投资明细
86,09988,阿里巴巴-W,9.81,4818.56,367683.57,2024年4季度股票投资明细
87,000858,五粮液,9.71,2600.0,364104.0,2024年4季度股票投资明细
88,600519,贵州茅台,9.15,225.05,342976.2,2024年4季度股票投资明细
89,002304,洋河股份,8.02,3600.0,300708.05,2024年4季度股票投资明细
90,000568,泸州老窖,7.43,2225.0,278570.0,2024年4季度股票投资明细
91,600809,山西汾酒,7.27,1480.01,272632.46,2024年4季度股票投资明细
92,00883,中国海洋石油,6.75,14300.0,253194.15,2024年4季度股票投资明细
93,03690,美团-W,6.29,1680.0,236006.85,2024年4季度股票投资明细
94,09987,百胜中国,5.36,580.0,200984.02,2024年4季度股票投资明细
95,01910,新秀丽,5.27,9888.0,197784.36,2024年4季度股票投资明细
96,002027,分众传媒,4.09,21800.0,153254.0,2024年4季度股票投资明细
97,02367,巨子生物,3.2,2600.0,120144.43,2024年4季度股票投资明细
98,300760,迈瑞医疗,1.16,170.0,43350.0,2024年4季度股票投资明细
99,00388,香港交易所,0.73,100.0,27299.66,2024年4季度股票投资明细
100,002352,顺丰控股,0.35,330.01,13299.32,2024年4季度股票投资明细
101,600007,中国国贸,0.0,1.0,24.46,2024年4季度股票投资明细
102,301626,苏州天脉,0.0,0.1,6.3,2024年4季度股票投资明细
103,603072,天和磁材,0.0,0.23,2.77,2024年4季度股票投资明细
104,301522,上大股份,0.0,0.08,2.03,2024年4季度股票投资明细
105,688721,龙图光罩,0.0,0.03,1.59,2024年4季度股票投资明细
106,301631,壹连科技,0.0,0.02,1.56,2024年4季度股票投资明细
107,301606,绿联科技,0.0,0.04,1.45,2024年4季度股票投资明细
108,301571,国科天成,0.0,0.04,1.43,2024年4季度股票投资明细
109,301622,英思特,0.0,0.03,1.37,2024年4季度股票投资明细
110,301608,博实结,0.0,0.02,1.2,2024年4季度股票投资明细
111,301613,新铝时代,0.0,0.03,1.15,2024年4季度股票投资明细
112,301586,佳力奇,0.0,0.02,1.14,2024年4季度股票投资明细
113,688710,益诺思,0.0,0.03,1.11,2024年4季度股票投资明细
114,301617,博苑股份,0.0,0.03,1.01,2024年4季度股票投资明细
115,301603,乔锋智能,0.0,0.02,0.98,2024年4季度股票投资明细
116,603194,中力股份,0.0,0.03,0.82,2024年4季度股票投资明细
117,301552,科力装备,0.0,0.01,0.81,2024年4季度股票投资明细
118,301585,蓝宇股份,0.0,0.02,0.75,2024年4季度股票投资明细
119,603395,红四方,0.0,0.02,0.55,2024年4季度股票投资明细
120,603207,小方制药,0.0,0.02,0.49,2024年4季度股票投资明细
121,603310,巍华新材,0.0,0.03,0.46,2024年4季度股票投资明细
122,603091,众鑫股份,0.0,0.01,0.42,2024年4季度股票投资明细
123,603350,安乃达,0.0,0.01,0.38,2024年4季度股票投资明细
124,603205,健尔康,0.0,0.01,0.35,2024年4季度股票投资明细
125,603285,键邦股份,0.0,0.01,0.29,2024年4季度股票投资明细
