date,portfolio_value,cash_flow,holdings_value,signal
2024-01-01,10000.0,0.0,0.0,hold: 数据不足
2024-01-02,10000.0,0.0,0.0,hold: 数据不足
2024-01-03,8500.0,1500.0,0.0,buy: 🔵 **反转上涨**
2024-01-04,9997.41716840359,0.0,1497.4171684035891,hold: 🟠 **连涨放缓**
2024-01-05,9999.488754219095,0.0,1499.4887542190952,hold: 🟢 **温和上涨**
2024-01-06,8006.116545143621,2000.0,1506.1165451436204,buy: 🟢 **强势突破** 🛡️ 📉
2024-01-07,9965.039395612888,0.0,3465.039395612888,hold: 🟢 **温和上涨**
2024-01-08,9947.419934423979,-0.0,3447.3399344239792,sell: 🔴 **反转下跌**
2024-01-09,9937.465672389819,0.0,3437.38567238982,hold: 🔴 **温和下跌**
2024-01-10,9878.776760883227,0.0,3378.696760883228,hold: 🟣 **持续下跌**
2024-01-11,9874.112879318174,0.0,3374.032879318175,hold: 🟣 **持续下跌**
2024-01-12,9857.14370339219,0.0,3357.0637033921903,hold: 🟣 **持续下跌**
2024-01-13,8345.144500221613,1500.0,3345.0645002216133,buy: 🔵 **反转上涨**
2024-01-14,7942.570085967816,2000.0,4942.490085967816,buy: 🟢 **强势突破** 🛡️ 📉
2024-01-15,9941.29870694525,-0.0,6941.13870694525,sell: 🔴 **反转下跌**
2024-01-16,8465.425562490338,1500.0,6965.265562490339,buy: 🔵 **反转上涨**
2024-01-17,9857.652106979462,-0.0,8357.412106979462,sell: 🔴 **反转下跌**
2024-01-18,8312.34179527086,1500.0,8312.10179527086,buy: 🔵 **反转上涨**
2024-01-19,9809.413734971184,0.0,9809.173734971184,hold: 🟢 **温和上涨**
2024-01-20,9831.4139299089,1500.0,9831.1739299089,buy: 🟡 **连涨加速**
2024-01-21,9889.105299024817,-0.0,9888.785299024818,sell: 🔴 **反转下跌**
2024-01-22,9827.990749758375,1500.0,9827.670749758376,buy: 🔵 **反转上涨**
2024-01-23,9737.708443156213,-0.0,9737.308443156213,sell: 🔴 **反转下跌**
2024-01-24,9773.162914259847,1500.0,9772.762914259847,buy: 🔵 **反转上涨**
2024-01-25,9816.986610443892,0.0,9816.586610443892,hold: 🟠 **连涨放缓**
2024-01-26,9688.527222777058,0.0,9688.127222777059,hold: 🟣 **小幅回调**
2024-01-27,9835.087377535712,1500.0,9834.687377535713,buy: 🔵 **反转上涨**
2024-01-28,9829.23218611401,2000.0,9828.83218611401,buy: 🟢 **强势突破** 🛡️ 📉
2024-01-29,9848.087407653276,-0.0,9847.607407653277,sell: 🔴 **反转下跌**
2024-01-30,9836.277155629516,0.0,9835.797155629516,hold: 🟣 **持续下跌**
2024-01-31,9916.746903077757,0.0,9916.266903077758,hold: 🟣 **持续下跌**
2024-02-01,10024.777667762512,1049.9999999999998,10024.297667762512,buy: 🔵 **反转上涨** ⚠️
2024-02-02,10011.121770145728,0.0,10010.641770145729,hold: 🟠 **连涨放缓** ⚠️
2024-02-03,10052.73998929774,0.0,10052.25998929774,hold: 🟢 **温和上涨** ⚠️
2024-02-04,9996.148735110637,0.0,9995.668735110637,hold: 🟢 **温和上涨** ⚠️
2024-02-05,10042.321551770792,1049.9999999999998,10041.841551770793,buy: 🟡 **连涨加速** ⚠️
2024-02-06,10115.764914603851,1400.0,10115.284914603852,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-02-07,10088.382623910837,-0.0,10087.822623910837,sell: 🔴 **反转下跌** ⚠️
2024-02-08,10073.66907936726,1049.9999999999998,10073.109079367261,buy: 🔵 **反转上涨** ⭐ ⚠️
2024-02-09,10140.289125003483,1400.0,10139.729125003483,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-02-10,10230.04445464526,1400.0,10229.48445464526,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-02-11,10118.604319897078,0.0,10118.044319897079,hold: 🟠 **连涨放缓** ⚠️
2024-02-12,10067.124436914935,0.0,10066.564436914936,hold: 🔴 **温和下跌** ⚠️
2024-02-13,10133.084554943513,1049.9999999999998,10132.524554943513,buy: 🔵 **反转上涨** ⭐ ⚠️
2024-02-14,10121.85931372347,1400.0,10121.29931372347,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-02-15,10066.620016949342,-0.0,10065.980016949343,sell: 🔴 **反转下跌** ⚠️
2024-02-16,10068.491283207237,0.0,10067.851283207237,hold: 🟣 **持续下跌** ⚠️
2024-02-17,10103.635765227411,1049.9999999999998,10102.995765227412,buy: 🟦 **跌速放缓** ⭐ ⚠️
2024-02-18,10212.794082113194,1049.9999999999998,10212.154082113195,buy: 🔵 **反转上涨** ⭐ ⚠️
2024-02-19,10249.457433238262,0.0,10248.817433238262,hold: 🟠 **连涨放缓** ⚠️
2024-02-20,10171.70387527381,0.0,10171.06387527381,hold: 🟣 **小幅回调** ⚠️
2024-02-21,10172.799531907374,1049.9999999999998,10172.159531907375,buy: 🔵 **反转上涨** ⭐ ⚠️
2024-02-22,10145.668688866886,-0.0,10144.948688866887,sell: 🔴 **反转下跌** ⚠️
2024-02-23,10085.506296069098,0.0,10084.786296069098,hold: 🟣 **持续下跌** ⚠️
2024-02-24,10146.810913735555,0.0,10146.090913735556,hold: 🟣 **持续下跌** ⚠️
2024-02-25,10145.259147472425,0.0,10144.539147472426,hold: 🟣 **持续下跌** ⚠️
2024-02-26,10103.742540493102,1049.9999999999998,10103.022540493102,buy: 🔵 **反转上涨** ⚠️
2024-02-27,10144.404333295375,-0.0,10143.604333295376,sell: 🔴 **反转下跌** ⚠️
2024-02-28,10082.04351107036,1049.9999999999998,10081.243511070361,buy: 🔵 **反转上涨** ⚠️
2024-02-29,10022.139799186158,1400.0,10021.339799186158,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-03-01,10170.251667461098,1400.0,10169.451667461099,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-03-02,10297.102688462248,0.0,10296.302688462249,hold: 🟠 **连涨放缓** ⚠️
2024-03-03,10204.634898740695,0.0,10203.834898740695,hold: 🟣 **小幅回调** ⚠️
2024-03-04,10081.907110683973,0.0,10081.107110683974,hold: 🟣 **持续下跌** ⚠️
2024-03-05,10063.412981877165,1049.9999999999998,10062.612981877166,buy: 🔵 **反转上涨** ⭐ ⚠️
2024-03-06,10080.680861264509,0.0,10079.88086126451,hold: 🟢 **温和上涨** ⚠️
2024-03-07,10178.554541346613,1049.9999999999998,10177.754541346614,buy: 🟡 **连涨加速** ⭐ ⚠️
2024-03-08,10205.685585153897,1049.9999999999998,10204.885585153897,buy: 🟡 **连涨加速** ⭐ ⚠️
2024-03-09,10169.847181194427,-0.0,10168.967181194428,sell: 🔴 **反转下跌** ⚠️
2024-03-10,10237.082371013983,1049.9999999999998,10236.202371013984,buy: 🔵 **反转上涨** ⭐ ⚠️
2024-03-11,10242.442661252522,1400.0,10241.562661252523,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-03-12,10381.340105738223,1400.0,10380.460105738224,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-03-13,10374.509352592044,0.0,10373.629352592045,hold: 🟠 **连涨放缓** ⚠️
2024-03-14,10391.607705940745,0.0,10390.727705940746,hold: 🔴 **温和下跌** ⚠️
2024-03-15,10476.215571819997,0.0,10475.335571819998,hold: 🔴 **温和下跌** ⚠️
2024-03-16,10365.894599917934,1049.9999999999998,10365.014599917935,buy: 🔵 **反转上涨** ⭐ ⚠️
2024-03-17,10454.025868990007,1400.0,10453.145868990008,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-03-18,10539.418613106294,0.0,10538.538613106295,hold: 🟢 **温和上涨** ⚠️
2024-03-19,10666.915008022786,1049.9999999999998,10666.035008022787,buy: 🟡 **连涨加速** ⭐ ⚠️
2024-03-20,10617.514800019511,-0.0,10616.554800019512,sell: 🔴 **反转下跌** ⚠️
2024-03-21,10667.370444638673,1049.9999999999998,10666.410444638674,buy: 🔵 **反转上涨** ⭐ ⚠️
2024-03-22,10648.163584051643,-0.0,10647.123584051644,sell: 🔴 **反转下跌** ⚠️
2024-03-23,10553.701193360288,0.0,10552.661193360289,hold: 🟣 **持续下跌** ⚠️
2024-03-24,10481.703731871314,1049.9999999999998,10480.663731871315,buy: 🔵 **反转上涨** ⚠️
2024-03-25,10455.675192182363,-0.0,10454.555192182364,sell: 🔴 **反转下跌** ⚠️
2024-03-26,10650.478704636,0.0,10649.358704636,hold: 🟣 **持续下跌** ⚠️
2024-03-27,10637.567757803534,0.0,10636.447757803535,hold: 🔴 **温和下跌** ⚠️
2024-03-28,10606.0024706643,1049.9999999999998,10604.8824706643,buy: 🔴 **首次大跌** ⚠️
2024-03-29,10534.848107829066,1049.9999999999998,10533.728107829067,buy: 🔵 **反转上涨** ⚠️
2024-03-30,10458.147813464177,1400.0,10457.027813464178,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-03-31,10522.36272346969,1400.0,10521.242723469692,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-04-01,10594.805907160537,1400.0,10593.685907160538,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-04-02,10627.545939344553,0.0,10626.425939344554,hold: 🟠 **连涨放缓** ⚠️
2024-04-03,10565.495886833016,1049.9999999999998,10564.375886833017,buy: 🔵 **反转上涨** ⚠️
2024-04-04,10591.98345690454,-0.0,10590.78345690454,sell: 🔴 **反转下跌** ⚠️
2024-04-05,10703.673043784524,1049.9999999999998,10702.473043784525,buy: 🔵 **反转上涨** ⚠️
2024-04-06,10786.82669940777,1400.0,10785.62669940777,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-04-07,10745.74288472006,1400.0,10744.542884720062,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-04-08,10712.784852940948,-0.0,10711.504852940949,sell: 🔴 **反转下跌** ⚠️
2024-04-09,10647.780775594047,0.0,10646.500775594048,hold: 🟣 **持续下跌** ⚠️
2024-04-10,10683.652406032083,1049.9999999999998,10682.372406032084,buy: 🟦 **跌速放缓** ⚠️
2024-04-11,10708.849188444183,1049.9999999999998,10707.569188444184,buy: 🔵 **反转上涨** ⚠️
2024-04-12,10623.092521595629,1049.9999999999998,10621.81252159563,buy: 🟡 **连涨加速** ⚠️
2024-04-13,10668.210780491947,-0.0,10666.850780491948,sell: 🔴 **反转下跌** ⚠️
2024-04-14,10613.973068227015,1049.9999999999998,10612.613068227016,buy: 🔵 **反转上涨** ⚠️
2024-04-15,10743.320972531492,1049.9999999999998,10741.960972531493,buy: 🟡 **连涨加速** ⚠️
2024-04-16,10688.945679241713,1400.0,10687.585679241714,buy: 🟢 **强势突破** 🛡️ 📉 ⭐ ⚠️
2024-04-17,10692.657072430056,0.0,10691.297072430058,hold: 🟠 **连涨放缓** ⚠️
2024-04-18,10791.385032974546,0.0,10790.025032974547,hold: 🟣 **小幅回调** ⚠️
2024-04-19,10796.64529367514,1049.9999999999998,10795.28529367514,buy: 🔵 **反转上涨** ⚠️
2024-04-20,10744.697867109833,-0.0,10743.257867109834,sell: 🔴 **反转下跌** ⚠️
2024-04-21,10790.996368258344,1049.9999999999998,10789.556368258345,buy: 🔵 **反转上涨** ⚠️
2024-04-22,10704.701616420693,-0.0,10703.181616420692,sell: 🔴 **反转下跌** ⚠️
2024-04-23,10777.990556806539,0.0,10776.470556806538,hold: 🔵 **小幅反转** ⚠️
2024-04-24,10906.829759008833,0.0,10905.309759008833,hold: 🟣 **小幅回调** ⚠️
2024-04-25,11107.708804551616,1049.9999999999998,11106.188804551615,buy: 🔵 **反转上涨** ⚠️
2024-04-26,11069.517508062441,-0.0,11067.91750806244,sell: 🔴 **反转下跌** ⚠️
2024-04-27,11134.087186185398,0.0,11132.487186185397,hold: 🟣 **持续下跌** ⚠️
2024-04-28,11123.790476678263,0.0,11122.190476678263,hold: 🟣 **持续下跌** ⚠️
2024-04-29,11036.121703809637,1049.9999999999998,11034.521703809636,buy: 🟦 **跌速放缓** ⚠️
2024-04-30,11157.085803779406,0.0,11155.485803779406,hold: 🔴 **温和下跌** ⚠️
2024-05-01,11163.200129052218,1049.9999999999998,11161.600129052218,buy: 🟦 **跌速放缓** ⚠️
2024-05-02,11254.9146076919,0.0,11253.3146076919,hold: 🔴 **温和下跌** ⚠️
2024-05-03,11273.707713248428,1049.9999999999998,11272.107713248428,buy: 🔵 **反转上涨** ⚠️
2024-05-04,11407.591180303603,1400.0,11405.991180303603,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-05-05,11405.90721539831,-0.0,11404.22721539831,sell: 🔴 **反转下跌** ⚠️
2024-05-06,11525.842746319697,1049.9999999999998,11524.162746319696,buy: 🔵 **反转上涨** ⚠️
2024-05-07,11469.150196423769,1400.0,11467.470196423768,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-05-08,11632.307530429416,1049.9999999999998,11630.627530429416,buy: 🟡 **连涨加速** ⚠️
2024-05-09,11722.971179092743,1400.0,11721.291179092743,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-05-10,11736.411561597777,-0.0,11734.651561597777,sell: 🔴 **反转下跌** ⚠️
2024-05-11,11714.621362914435,0.0,11712.861362914435,hold: 🟣 **持续下跌** ⚠️
2024-05-12,11797.803984287875,0.0,11796.043984287875,hold: 🟣 **持续下跌** ⚠️
2024-05-13,11829.515893545322,0.0,11827.755893545322,hold: 🟣 **持续下跌** ⚠️
2024-05-14,11800.814993315684,0.0,11799.054993315684,hold: 🟣 **持续下跌** ⚠️
2024-05-15,11825.809349949594,0.0,11824.049349949593,hold: 🔴 **温和下跌** ⚠️
2024-05-16,11801.672297333116,899.9999999999999,11799.912297333116,buy: 🔴 **首次大跌** ⚠️
2024-05-17,11823.10735626781,899.9999999999999,11821.34735626781,buy: 🟦 **跌速放缓** ⚠️
2024-05-18,11833.612621166103,0.0,11831.852621166103,hold: 🔴 **温和下跌** ⚠️
2024-05-19,11820.330443846788,899.9999999999999,11818.570443846787,buy: 🔵 **反转上涨** ⚠️
2024-05-20,11769.95519573108,-0.0,11768.11519573108,sell: 🔴 **反转下跌** ⚠️
2024-05-21,11857.498999264539,899.9999999999999,11855.658999264539,buy: 🟦 **跌速放缓** ⚠️
2024-05-22,11634.807777041216,0.0,11632.967777041216,hold: 🔴 **温和下跌** ⚠️
2024-05-23,11671.382084014753,899.9999999999999,11669.542084014753,buy: 🔵 **反转上涨** ⚠️
2024-05-24,11744.212713824709,1000.0,11742.372713824709,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-05-25,11737.201393617604,-0.0,11735.281393617604,sell: 🔴 **反转下跌** ⚠️
2024-05-26,11620.543163822003,899.9999999999999,11618.623163822003,buy: 🔵 **反转上涨** ⚠️
2024-05-27,11568.790539172309,-0.0,11566.790539172309,sell: 🔴 **反转下跌** ⚠️
2024-05-28,11402.808779806237,899.9999999999999,11400.808779806237,buy: 🔵 **反转上涨** ⚠️
2024-05-29,11433.424701884307,0.0,11431.424701884307,hold: 🟠 **连涨放缓** ⚠️
2024-05-30,11624.947519761528,899.9999999999999,11622.947519761528,buy: 🔵 **反转上涨** ⚠️
2024-05-31,11637.276698864169,0.0,11635.276698864169,hold: 🟠 **连涨放缓** ⚠️
2024-06-01,11594.561075789567,899.9999999999999,11592.561075789567,buy: 🔵 **反转上涨** ⚠️
2024-06-02,11522.217888797471,-0.0,11520.137888797472,sell: 🔴 **反转下跌** ⚠️
2024-06-03,11569.768002742652,899.9999999999999,11567.688002742652,buy: 🟦 **跌速放缓** ⚠️
2024-06-04,11520.165173220645,899.9999999999999,11518.085173220645,buy: 🔵 **反转上涨** ⚠️
2024-06-05,11464.07240513306,1000.0,11461.99240513306,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-06-06,11503.858314445051,0.0,11501.778314445051,hold: 🟢 **温和上涨** ⚠️
2024-06-07,11473.748912607723,-0.0,11471.588912607724,sell: 🔴 **反转下跌** ⚠️
2024-06-08,11652.533473773085,899.9999999999999,11650.373473773085,buy: 🔵 **反转上涨** ⚠️
2024-06-09,11607.09365275573,-0.0,11604.85365275573,sell: 🔴 **反转下跌** ⚠️
2024-06-10,11679.918899441906,899.9999999999999,11677.678899441906,buy: 🔵 **反转上涨** ⚠️
2024-06-11,11813.813892570419,1000.0,11811.573892570419,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-06-12,11998.428553533497,1000.0,11996.188553533497,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-06-13,12089.64223943946,1000.0,12087.40223943946,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-06-14,12038.880347479691,1000.0,12036.640347479692,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-06-15,12074.763566787698,1000.0,12072.523566787699,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-06-16,12134.419756399408,0.0,12132.179756399408,hold: 🟠 **连涨放缓** ⚠️
2024-06-17,11927.545293117122,899.9999999999999,11925.305293117122,buy: 🔴 **首次大跌** ⚠️
2024-06-18,11915.785375322714,0.0,11913.545375322714,hold: 🟣 **持续下跌** ⚠️
2024-06-19,11997.465345108229,0.0,11995.225345108229,hold: 🟣 **持续下跌** ⚠️
2024-06-20,11932.330391987383,0.0,11930.090391987384,hold: 🟣 **持续下跌** ⚠️
2024-06-21,11882.955219707806,899.9999999999999,11880.715219707807,buy: 🔵 **反转上涨** ⚠️
2024-06-22,11848.21738142245,-0.0,11845.89738142245,sell: 🔴 **反转下跌** ⚠️
2024-06-23,11771.519044007946,0.0,11769.199044007946,hold: 🟣 **持续下跌** ⚠️
2024-06-24,11678.81477416118,0.0,11676.49477416118,hold: 🟣 **持续下跌** ⚠️
2024-06-25,11737.983454736934,899.9999999999999,11735.663454736934,buy: 🔵 **反转上涨** ⚠️
2024-06-26,11845.178033255888,-0.0,11842.778033255889,sell: 🔴 **反转下跌** ⚠️
2024-06-27,11836.14441089999,0.0,11833.74441089999,hold: 🟣 **持续下跌** ⚠️
2024-06-28,11821.257625716698,0.0,11818.857625716699,hold: 🔵 **小幅反转** ⚠️
2024-06-29,11801.225695828032,0.0,11798.825695828033,hold: 🟢 **温和上涨** ⚠️
2024-06-30,11643.911121243786,-0.0,11641.431121243786,sell: 🔴 **反转下跌** ⚠️
2024-07-01,11682.339101836498,0.0,11679.859101836499,hold: 🟣 **持续下跌** ⚠️
2024-07-02,11746.300967777554,899.9999999999999,11743.820967777554,buy: 🔵 **反转上涨** ⚠️
2024-07-03,11802.977012210966,1000.0,11800.497012210966,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-07-04,11815.22487032808,-0.0,11812.66487032808,sell: 🔴 **反转下跌** ⚠️
2024-07-05,11785.151862247081,899.9999999999999,11782.591862247082,buy: 🔵 **反转上涨** ⚠️
2024-07-06,11775.708334819165,-0.0,11773.068334819165,sell: 🔴 **反转下跌** ⚠️
2024-07-07,11679.059222819104,899.9999999999999,11676.419222819104,buy: 🟦 **跌速放缓** ⚠️
2024-07-08,11735.313862883897,0.0,11732.673862883898,hold: 🔴 **温和下跌** ⚠️
2024-07-09,11880.213926905422,899.9999999999999,11877.573926905423,buy: 🔵 **反转上涨** ⚠️
2024-07-10,11912.474340649973,-0.0,11909.754340649974,sell: 🔴 **反转下跌** ⚠️
2024-07-11,12100.001582249724,899.9999999999999,12097.281582249725,buy: 🔵 **反转上涨** ⚠️
2024-07-12,12036.615032935972,1000.0,12033.895032935972,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-07-13,12016.097536370378,0.0,12013.377536370379,hold: 🟠 **连涨放缓** ⚠️
2024-07-14,12052.56930061766,899.9999999999999,12049.849300617661,buy: 🔵 **反转上涨** ⚠️
2024-07-15,12216.867406085155,-0.0,12214.067406085156,sell: 🔴 **反转下跌** ⚠️
2024-07-16,12077.072355642018,0.0,12074.272355642019,hold: 🟣 **持续下跌** ⚠️
2024-07-17,12002.282159974235,0.0,11999.482159974235,hold: 🟣 **持续下跌** ⚠️
2024-07-18,11983.269461434167,0.0,11980.469461434168,hold: 🟣 **持续下跌** ⚠️
2024-07-19,11916.744646601168,0.0,11913.944646601169,hold: 🟣 **持续下跌** ⚠️
2024-07-20,12001.501309107342,0.0,11998.701309107342,hold: 🟣 **持续下跌** ⚠️
2024-07-21,11975.068426105328,899.9999999999999,11972.26842610533,buy: 🔵 **反转上涨** ⚠️
2024-07-22,12013.160965213136,1000.0,12010.360965213136,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-07-23,12148.372290388694,1000.0,12145.572290388694,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-07-24,12117.021031080067,-0.0,12114.141031080067,sell: 🔴 **反转下跌** ⚠️
2024-07-25,12335.240928536283,0.0,12332.360928536284,hold: 🟣 **持续下跌** ⚠️
2024-07-26,12372.419107800522,0.0,12369.539107800523,hold: 🟣 **持续下跌** ⚠️
2024-07-27,12363.471403830184,899.9999999999999,12360.591403830185,buy: 🔵 **反转上涨** ⚠️
2024-07-28,12335.123428116229,1000.0,12332.24342811623,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-07-29,12199.437623263595,-0.0,12196.477623263596,sell: 🔴 **反转下跌** ⚠️
2024-07-30,12203.197324394048,899.9999999999999,12200.23732439405,buy: 🔵 **反转上涨** ⚠️
2024-07-31,12114.378830128748,-0.0,12111.338830128749,sell: 🔴 **反转下跌** ⚠️
2024-08-01,12143.43740713284,0.0,12140.397407132841,hold: 🔵 **小幅反转** ⚠️
2024-08-02,12237.89385451098,0.0,12234.85385451098,hold: 🟢 **温和上涨** ⚠️
2024-08-03,12225.037121401345,0.0,12221.997121401346,hold: 🟢 **温和上涨** ⚠️
2024-08-04,12205.410528379027,0.0,12202.370528379028,hold: 🟢 **温和上涨** ⚠️
2024-08-05,12205.971915805967,-0.0,12202.851915805968,sell: 🔴 **反转下跌** ⚠️
2024-08-06,12144.75971598583,0.0,12141.639715985832,hold: 🟣 **持续下跌** ⚠️
2024-08-07,12325.220350222557,0.0,12322.100350222558,hold: 🟣 **持续下跌** ⚠️
2024-08-08,12273.188612054815,899.9999999999999,12270.068612054816,buy: 🟦 **跌速放缓** ⚠️
2024-08-09,12364.310025890041,899.9999999999999,12361.190025890042,buy: 🔵 **反转上涨** ⚠️
2024-08-10,12395.721970541204,-0.0,12392.521970541206,sell: 🔴 **反转下跌** ⚠️
2024-08-11,12350.337661598307,899.9999999999999,12347.137661598308,buy: 🔵 **反转上涨** ⚠️
2024-08-12,12488.20010221063,1000.0,12485.000102210632,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-08-13,12419.445018809454,1000.0,12416.245018809455,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-08-14,12604.68989661383,1000.0,12601.489896613832,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
2024-08-15,12572.440124360915,-0.0,12569.160124360917,sell: 🔴 **反转下跌** ⚠️
2024-08-16,12683.866453473307,899.9999999999999,12680.586453473308,buy: 🔵 **反转上涨** ⚠️
2024-08-17,12646.956390342133,1000.0,12643.676390342134,buy: 🟢 **强势突破** 🛡️ 📉 ⚠️
