date,portfolio_value,cash_flow,holdings_value,signal
2024-01-01,9000.0,1000.0,0.0,buy: 市值低于目标
2024-01-02,8982.997422909099,1008.5012885454512,991.4987114545489,buy: 市值低于目标
2024-01-03,8991.691680609512,999.903515422518,2000.096484577482,buy: 市值低于目标
2024-01-04,8982.125495777058,1004.7348501274864,2995.2651498725136,buy: 市值低于目标
2024-01-05,8998.013708965635,994.4233184694554,4005.5766815305446,buy: 市值低于目标
2024-01-06,9036.643273980151,977.8968767274691,5022.103123272531,buy: 市值低于目标
2024-01-07,8874.295459254487,1070.122345726567,5929.877654273433,buy: 市值低于目标
2024-01-08,8873.636260552292,1035.3907722143804,6964.60922778562,buy: 市值低于目标
2024-01-09,8863.898144198385,1022.564444284144,7977.435555715856,buy: 市值低于目标
2024-01-10,9733.175650670802,1153.2869378117266,8846.713062188273,buy: 市值低于目标
2024-01-11,9721.797253663515,2164.665334819014,8835.334665180986,buy: 市值低于目标
2024-01-12,9677.675254486398,3208.7873339961316,8791.212666003868,buy: 市值低于目标
2024-01-13,9646.810842263088,4239.651746219441,8760.34825378056,buy: 市值低于目标
2024-01-14,9823.351443543259,5063.11114493927,8936.88885506073,buy: 市值低于目标
2024-01-15,9819.820580327054,6066.642008155475,8933.357991844525,buy: 市值低于目标
2024-01-16,9848.4164765793,7038.04611190323,8961.95388809677,buy: 市值低于目标
2024-01-17,9737.31398920762,8149.148599274909,8850.85140072509,buy: 市值低于目标
2024-01-18,9689.137954793301,9197.324633689228,8802.675366310772,buy: 市值低于目标
2024-01-19,9683.499589235205,10202.962999247324,8797.037000752676,buy: 市值低于目标
2024-01-20,9699.807866288842,11186.654722193687,8813.345277806313,buy: 市值低于目标
2024-01-21,9752.256324220663,12134.206264261866,8865.793735738134,buy: 市值低于目标
2024-01-22,9699.64730754071,13186.815280941819,8813.184719058181,buy: 市值低于目标
2024-01-23,9616.989371741949,14269.47321674058,8730.52678325942,buy: 市值低于目标
2024-01-24,9646.918751420666,15239.543837061863,8760.456162938137,buy: 市值低于目标
2024-01-25,9686.46669307606,16199.99589540647,8800.00410459353,buy: 市值低于目标
2024-01-26,9569.27286493461,17317.18972354792,8682.81027645208,buy: 市值低于目标
2024-01-27,9705.166261905759,18181.29632657677,8818.70367342323,buy: 市值低于目标
2024-01-28,9700.166908709392,19186.29567977314,8813.704320226863,buy: 市值低于目标
2024-01-29,9716.461013807946,20170.001574674585,8829.998425325417,buy: 市值低于目标
2024-01-30,9706.801524555063,21179.661063927466,8820.338936072534,buy: 市值低于目标
2024-01-31,9774.896826212564,22111.565762269965,8888.434237730035,buy: 市值低于目标
2024-02-01,9871.697305407402,23014.765283075125,8985.234716924873,buy: 市值低于目标
2024-02-02,9856.025416771572,24030.437171710957,8969.562828289043,buy: 市值低于目标
2024-02-03,9893.676674668968,24992.78591381356,9007.214086186439,buy: 市值低于目标
2024-02-04,9841.364071615808,26045.09851686672,8954.901483133279,buy: 市值低于目标
2024-02-05,9883.617994129192,27002.844594353337,8997.155405646663,buy: 市值低于目标
2024-02-06,9952.461336920938,27934.00125156159,9065.99874843841,buy: 市值低于目标
2024-02-07,9928.505556321417,28957.95703216111,9042.042967838888,buy: 市值低于目标
2024-02-08,9918.39950084925,29968.06308763328,9031.93691236672,buy: 市值低于目标
2024-02-09,9973.718941367619,30912.743647114912,9087.25635288509,buy: 市值低于目标
2024-02-10,10052.487613997315,31833.974974485216,9166.025025514786,buy: 市值低于目标
2024-02-11,9946.368026999968,32940.09456148256,9059.905438517439,buy: 市值低于目标
